username,black,darkGrey,deepGrey,mediumGrey,lightGrey,white,beige,peach,brown,chocolate,rust,orange,yellow,pastelYellow,lime,green,darkGreen,forest,darkTeal,lightTeal,aqua,azure,blue,navy,purple,mauve,magenta,pink,watermelon,red,rose,maroon,darkChocolate,darkPurple
dave@lemmy.nz,105,0,5,61,46,3,0,0,129,35,8,0,0,0,0,123,0,47,0,0,0,0,997,917,0,0,8,0,0,101,0,0,0,0
Stoneykins@mander.xyz,481,9,227,242,570,32,0,0,0,0,159,0,261,99,20,29,101,33,0,0,24,46,19,1,0,71,0,49,0,26,2,0,0,0
trixysaur@lemmy.blahaj.zone,884,9,54,35,17,17,0,11,62,13,32,160,62,94,182,16,15,49,0,15,19,1,132,1,42,13,109,182,109,85,65,10,0,0
surfbum@lemmy.nz,589,0,3,32,19,24,37,18,65,75,84,4,62,7,3,47,4,0,0,14,72,0,184,600,0,1,71,6,0,457,0,0,0,0
Cloud_Y@lemmy.world,469,301,414,269,176,12,28,9,204,72,0,0,0,0,0,0,0,0,0,0,0,9,0,20,0,0,286,69,0,0,108,0,0,0
Themisto@lemmy.world,117,85,75,35,86,65,25,1,7,7,23,77,114,51,12,155,40,53,28,76,210,113,183,89,143,148,63,154,104,56,12,5,0,0
AbouBenAdhem@lemmy.world,0,0,0,0,0,35,26,0,0,0,0,3,7,60,219,411,801,677,0,0,38,48,4,0,0,0,0,70,0,3,0,0,0,0
EXtremeExploit@lemmy.world,220,191,46,34,117,228,3,0,20,52,21,43,79,82,20,81,10,11,37,9,54,91,97,78,88,97,55,258,5,157,36,46,0,0
Tzingo@lemmy.world,113,288,59,96,38,5,0,15,24,20,10,63,50,8,1,81,1,1,9,33,120,180,293,191,214,171,0,52,30,146,30,3,0,0
SquReal@toast.ooo,521,141,0,0,248,11,0,0,0,0,100,47,98,11,7,51,24,0,25,55,25,384,110,96,71,5,15,7,15,129,30,74,0,0
somepony@lemmy.world,130,14,53,165,97,50,8,19,101,108,18,88,68,29,324,60,43,76,17,99,321,126,66,0,17,32,13,36,28,52,23,4,0,0
nellymoose@lemmy.world,233,15,1,207,0,17,32,0,16,16,37,70,457,16,1,63,50,0,0,0,0,262,217,0,101,89,192,73,101,12,0,0,0,0
the_dopamine_fiend@lemmy.world,1270,0,0,23,0,8,0,145,103,112,0,0,20,0,419,10,9,4,0,0,14,1,7,0,2,0,43,0,0,34,2,0,0,0
Monkmoo@lemmy.world,507,0,6,7,10,15,0,8,47,0,0,27,112,142,4,118,0,0,0,0,215,123,92,0,650,4,3,7,104,3,0,0,0,0
cluster_bright@lemmy.world,107,69,76,150,260,33,0,0,163,93,31,176,71,166,11,21,15,43,12,53,181,5,109,113,70,9,5,77,5,43,35,2,0,0
greenbean@lemmy.ml,672,86,65,68,136,23,53,191,89,114,8,40,50,0,19,12,49,3,0,0,4,44,70,41,27,27,1,1,7,215,46,31,0,0
ILSB@lemmy.world,209,255,46,125,65,39,1,0,14,27,10,75,29,15,13,42,75,70,11,35,56,89,59,108,181,196,9,99,108,23,18,5,0,0
ginjutsu@lemmy.world,254,44,93,226,198,13,32,0,53,54,0,0,1,6,5,0,0,0,0,0,35,14,1001,51,0,0,0,0,0,2,0,4,0,0
F00DPLZ@nano.garden,146,33,4,22,112,148,16,3,4,25,150,10,167,2,17,30,161,8,4,3,85,5,237,71,83,405,7,15,2,75,8,5,0,0
Waffle6787@lemmy.world,143,588,92,108,7,147,0,8,53,34,5,28,34,91,2,7,1,20,14,11,16,22,39,6,105,86,34,183,121,30,8,0,0,0
shunned_marble4378@feddit.de,1022,1,14,10,3,65,0,0,0,1,105,0,0,0,0,0,791,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoonlitChaser@lemmy.world,223,184,31,38,66,23,7,1,4,23,1,16,57,121,37,88,38,8,13,54,25,177,114,43,114,147,6,100,176,48,37,5,0,0
KoboldCoterie@pawb.social,873,45,48,32,59,12,12,16,52,41,63,4,0,8,0,21,333,15,0,0,0,0,21,1,20,0,0,42,26,216,28,29,0,0
tanker405th@lemmy.world,6,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1861,6,0,0,0,0,0,0,0,0,0,0,0
basxto@discuss.tchncs.de,800,12,0,12,3,41,0,4,41,12,4,73,60,23,193,16,19,51,0,12,19,0,126,1,10,18,99,186,61,53,19,20,0,0
Lumun@lemmy.zip,168,106,101,327,76,16,58,141,19,67,19,326,32,6,11,4,13,11,4,5,4,7,28,15,47,10,7,19,10,235,19,12,0,0
Enderson1320@lemmy.world,385,56,61,37,8,24,0,8,7,3,1,38,56,35,0,22,0,22,14,21,42,49,227,340,94,127,4,118,39,53,12,1,0,0
Rose@lemmy.world,1466,27,4,2,0,181,0,0,9,3,5,0,87,0,3,0,0,74,0,0,0,4,1,0,0,0,0,93,12,18,8,7,0,0
p0ppe@lemmy.world,392,0,0,1,1,28,0,0,0,0,10,0,16,0,79,67,109,0,0,0,0,0,1162,0,0,0,3,13,0,18,0,0,0,0
Rogue1633@discuss.tchncs.de,505,0,0,7,4,32,0,0,0,58,71,0,655,0,0,0,0,0,0,0,0,22,12,12,82,0,0,0,0,424,0,0,0,0
NoNotLikeThat@lemm.ee,65,19,37,25,12,9,10,57,74,138,72,116,63,39,4,14,63,76,23,8,28,178,192,224,54,49,9,31,10,40,33,110,0,0
lnxtx@feddit.nl,0,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1772,0,0,0,0,0,0,0,0,0,0,0
zer0@feddit.de,849,1,1,0,0,3,0,0,0,0,111,10,277,0,0,4,0,0,0,0,1,11,243,0,0,1,0,0,0,348,5,0,0,0
Ihnivid@feddit.de,476,26,14,11,37,16,0,8,60,0,3,174,88,139,3,5,3,0,155,86,33,51,45,8,63,40,0,2,12,78,181,0,0,0
beansbeansbeans@lemmy.world,33,5,30,33,28,2,6,65,116,142,52,159,82,23,2,8,24,78,29,6,23,220,79,291,45,24,15,15,9,43,31,97,0,0
Fabulous@lemmy.world,813,1,2,0,1,28,0,0,0,0,88,45,101,0,0,35,71,0,0,0,0,25,125,0,58,71,0,35,0,306,0,5,0,0
Fabulous@infosec.pub,826,5,35,29,15,22,2,0,0,0,88,48,116,0,1,57,4,0,0,2,66,49,87,0,50,67,0,46,7,169,0,8,0,0
KAP2003@lemmy.world,50,1,7,1,2,20,0,3,0,3,1,0,5,0,9,1,11,1,0,0,264,58,1293,5,43,0,0,1,0,1,8,0,0,0
flora_explora@beehaw.org,100,7,0,0,22,31,0,33,0,0,50,44,15,47,2,1,29,0,235,222,41,112,58,28,102,75,43,252,57,105,60,9,0,0
FeatherFoot@lemmy.world,78,28,15,17,46,28,12,8,4,107,29,40,57,71,3,20,5,188,117,40,117,31,15,238,147,68,11,121,11,17,24,7,0,0
blueether@no.lastname.nz,531,0,10,10,114,45,0,5,51,148,0,0,0,0,4,1,10,27,0,0,0,0,0,657,0,0,0,0,0,101,0,0,0,0
marius851000@lemmy.mariusdavid.fr,67,263,7,51,98,83,6,21,16,25,19,35,46,14,0,13,50,11,75,31,34,88,193,62,72,38,10,101,76,73,26,2,0,0
alex@feddit.de,411,2,4,58,527,10,13,0,0,0,71,12,24,0,0,0,236,30,100,56,3,0,46,0,53,0,0,17,10,16,2,0,0,0
lnm225@sh.itjust.works,67,64,72,70,66,4,0,0,0,0,381,156,117,97,7,37,39,9,11,13,0,41,96,0,126,14,10,19,7,145,7,6,0,0
Kilgorio@lemmy.world,107,81,180,34,92,69,0,0,1,2,31,3,3,16,14,8,9,152,44,8,58,182,73,0,140,74,13,184,36,42,8,0,0,0
Mrs_deWinter@feddit.de,18,2,22,0,0,149,1,0,0,1,6,70,141,4,5,74,4,3,5,5,3,93,92,12,535,225,2,2,0,113,4,38,0,0
TDK@lemmy.world,309,46,30,156,45,71,0,6,21,12,6,44,56,23,0,14,24,3,0,31,21,30,76,365,20,81,3,34,21,46,35,0,0,0
alycat@lemmy.blahaj.zone,180,23,206,55,65,12,0,128,16,10,155,0,16,4,1,16,108,20,0,5,12,131,58,12,20,7,150,81,2,4,120,2,0,0
ArieTheFloof@lemmy.blahaj.zone,636,18,35,13,18,20,0,30,14,0,18,0,23,3,1,6,12,155,67,33,0,28,29,28,228,23,35,103,3,8,26,0,0,0
9point6@lemmy.world,835,0,0,0,0,31,0,0,0,0,0,0,251,0,63,155,0,0,0,0,0,0,72,46,0,0,0,0,0,20,136,0,0,0
parsnip@lemmy.ca,185,0,0,5,13,2,0,0,0,15,63,0,237,0,0,0,121,0,0,0,0,0,133,0,343,0,0,0,0,475,0,0,0,0
rrconkle@lemmy.zip,65,21,32,28,57,5,0,0,19,5,0,34,137,185,0,4,2,0,0,19,432,253,87,30,19,57,17,47,9,17,0,0,0,0
squids@sopuli.xyz,376,71,71,102,101,4,84,12,4,16,34,13,19,0,3,2,1,0,1,44,227,114,73,16,0,0,3,61,53,16,25,26,0,0
IllinoisMapper@lemmy.world,796,0,0,135,162,32,0,0,2,0,0,38,50,2,46,55,0,2,0,0,0,5,93,0,4,32,0,10,0,100,0,0,0,0
Firebolt117@lemmy.world,91,110,64,73,30,309,14,5,15,141,28,23,42,81,4,45,7,26,8,17,23,42,22,22,13,16,7,83,38,77,34,46,0,0
magical@lemmy.henknet.org,110,0,0,0,0,38,0,0,0,0,1054,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,180,0,0,0
Sarsaparilla@aussie.zone,286,20,22,20,4,95,0,0,4,0,16,6,15,0,0,0,0,56,0,0,0,166,447,120,0,0,6,24,13,102,72,47,0,0
weird_kit@lemmy.blahaj.zone,17,1257,0,0,37,1,0,0,0,0,42,29,0,0,0,0,0,0,10,3,0,0,1,0,0,0,108,16,17,2,0,0,0,0
KAP03@lemmy.world,50,0,0,2,5,18,0,0,0,3,0,3,9,0,1,0,5,0,0,0,256,80,1029,9,58,1,0,0,0,2,9,0,0,0
HazySkies@lemmy.world,61,143,91,80,71,71,0,38,23,73,18,59,139,154,8,27,14,35,45,22,8,98,35,3,6,17,74,41,35,29,9,12,0,0
Cdr_Johannsen@feddit.de,553,1,32,80,40,0,0,0,0,5,6,0,197,0,0,0,0,0,0,0,0,0,0,0,84,0,0,3,58,476,0,0,0,0
PrimeSuspect@lemmy.blahaj.zone,514,7,0,0,0,127,0,0,0,0,362,151,4,3,18,32,18,1,0,0,0,228,4,0,0,0,0,1,0,0,0,33,0,0
mubelotix@jlai.lu,173,0,40,1,78,480,3,2,5,26,37,216,46,1,1,8,15,4,0,0,13,52,20,4,12,44,10,4,1,197,1,9,0,0
PM_CTD@lemmy.world,126,33,21,16,15,17,3,6,37,65,20,68,44,59,0,36,12,9,0,66,114,89,244,123,38,4,2,156,60,12,6,0,0,0
Spiritdash@lemmy.world,1114,28,21,21,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,31,0,0
DuskyRo@lemmy.world,288,18,0,27,40,5,76,42,77,39,45,317,0,0,0,450,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weebkent@ani.social,397,241,240,240,268,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,35,26,0,0,0,2,4,0,0,0,0,0,0
GlennMagusHarvey@mander.xyz,333,0,0,0,78,38,45,0,16,24,0,33,1,2,12,22,15,3,0,0,59,2,2,0,543,0,0,154,69,0,0,0,0,0
Midnightmoon@lemmy.world,110,9,29,59,33,25,0,0,3,60,15,17,77,29,2,19,29,21,10,4,162,136,231,73,25,73,24,54,2,27,19,54,0,0
lym@lemmy.world,269,96,143,80,98,62,3,0,9,26,20,23,18,30,0,58,6,47,4,28,32,86,48,18,60,55,26,58,3,15,10,0,0,0
tamlyn@lemmy.zip,468,25,65,53,54,31,54,39,54,36,7,47,29,100,0,26,28,19,1,0,156,51,48,27,0,0,0,0,0,6,0,1,0,0
Amidatelion097@lemmy.world,25,12,1,4,196,113,0,0,14,0,298,51,62,43,14,39,0,0,4,16,7,55,29,0,4,57,7,121,201,43,7,0,0,0
emi_x@lemmy.world,85,305,220,84,124,164,14,5,22,113,0,1,4,0,0,0,0,0,10,0,0,0,0,8,30,0,1,221,0,0,0,0,0,0
kafuupone@lemmy.world,43,301,8,8,11,13,4,1,4,2,35,83,53,31,6,17,8,2,53,63,51,69,177,49,70,80,12,66,29,28,20,11,0,0
tblflip@pawb.social,295,38,37,8,0,4,0,0,0,0,2,31,535,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,133,311,10,0,0,0
Etegon@programming.dev,563,216,226,9,27,39,0,1,0,6,17,19,35,0,6,15,11,7,0,0,3,80,58,16,1,5,4,4,15,15,2,2,0,0
StillPaisleyCat@startrek.website,46,333,0,50,40,73,41,22,296,97,0,9,0,73,0,0,0,0,0,0,5,11,0,0,118,0,0,0,0,172,2,0,0,0
gratux@lemmy.blahaj.zone,405,0,36,47,10,26,20,14,5,70,48,33,150,0,0,53,10,0,3,0,9,137,9,0,95,33,11,79,14,33,0,38,0,0
Doborus@toast.ooo,139,186,78,27,74,1,5,0,20,16,16,9,16,35,6,19,16,28,28,22,83,31,26,8,181,37,0,15,212,21,30,0,0,0
AchillesUltimate@lemy.lol,425,328,127,32,159,30,36,35,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
koorool@feddit.de,267,0,2,1,1,31,0,0,0,0,0,0,235,11,7,1,1,5,6,5,4,2,586,0,0,0,0,0,10,199,0,0,0,0
user224@lemmy.sdf.org,267,0,0,8,0,5,7,0,18,29,72,4,20,0,0,5,0,0,0,0,2,0,440,2,141,12,0,10,0,331,0,0,0,0
Pxtl@lemmy.ca,106,28,49,142,122,46,1,0,0,0,32,0,103,76,3,20,4,53,0,0,0,0,25,0,0,0,0,1,18,427,109,0,0,0
Syrc@lemmy.world,537,0,0,0,0,14,18,10,48,25,0,15,2,50,0,0,1,0,0,0,309,111,23,34,121,32,0,4,2,4,1,0,0,0
PositiveControl@feddit.it,451,0,18,109,94,16,10,13,26,8,22,17,23,7,14,6,174,0,0,0,0,31,118,23,0,0,0,0,0,161,3,0,0,0
Shushue10@lemmy.world,14,20,67,13,35,178,0,1,72,44,16,25,54,0,0,25,6,48,118,69,75,36,56,2,4,68,12,198,0,68,10,2,0,0
IcyToes@sh.itjust.works,305,0,2,0,0,190,0,55,0,0,0,32,55,0,0,113,0,4,0,0,0,34,272,0,0,30,0,0,0,229,0,0,0,0
ViperActual@sh.itjust.works,969,0,0,0,0,5,0,0,0,0,0,0,0,0,208,5,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
namipa@lemmy.world,763,0,13,23,2,220,0,0,1,4,1,10,4,0,10,26,27,31,2,2,0,67,46,1,3,0,0,8,18,8,8,13,0,0
baascus@lemm.ee,364,0,0,0,0,66,0,0,0,0,0,0,1,0,28,0,20,0,0,0,0,0,37,258,0,0,0,6,0,529,0,0,0,0
shotgun_crab@lemmy.world,147,440,268,12,16,2,0,0,0,0,1,14,17,0,0,131,0,0,0,0,61,75,27,52,0,33,0,0,0,6,0,0,0,0
ThatSnek@lemmy.world,55,171,22,85,38,37,1,2,0,4,1,13,24,55,3,22,5,1,17,41,43,58,47,28,34,131,19,212,42,45,23,15,0,0
kira_ananta@lemmy.blahaj.zone,185,0,117,110,145,41,0,0,0,0,51,0,101,15,8,0,0,0,48,0,2,162,0,0,0,0,21,163,1,119,0,0,0,0
Nirfu@sh.itjust.works,34,140,105,138,53,0,33,28,74,17,26,2,0,33,0,59,119,209,91,58,8,0,0,2,0,0,0,2,28,9,9,10,0,0
iso@lemy.lol,267,0,0,0,0,195,0,0,0,0,50,0,53,0,1,50,86,0,0,0,3,65,56,0,98,0,0,0,0,346,0,0,0,0
smallpanther@lemmy.dbzer0.com,67,6,15,14,15,19,0,0,49,15,6,39,34,5,4,50,109,15,0,2,4,752,2,0,4,5,0,0,0,23,11,0,0,0
Ategon@programming.dev,527,187,240,20,27,43,0,0,0,4,12,8,30,0,6,1,2,1,1,2,2,60,55,9,1,0,1,1,4,9,0,4,0,0
MrPoopapants@lemmy.world,194,4,3,25,6,42,0,1,0,0,12,40,36,18,3,8,3,96,180,29,76,27,108,82,82,62,8,42,13,42,4,0,0,0
Autian@feddit.de,488,3,147,7,183,24,0,0,0,0,0,0,0,0,0,0,0,0,5,100,105,0,0,0,0,0,0,0,54,49,5,71,0,0
erin@lemmy.sidh.bzh,0,0,0,55,160,25,0,0,0,0,0,1,36,1,1,1,23,1,0,0,0,0,890,43,0,0,0,0,0,0,0,0,0,0
Tihan@lemmy.world,114,40,53,78,105,83,1,3,9,3,28,21,3,9,2,15,11,32,11,28,69,52,94,93,146,73,3,36,3,10,7,1,0,0
cralder@feddit.nu,1,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,3,831,0,0,0,0,0,0,147,0,0,0,0
ChlorineAddict@lemmy.world,264,29,0,219,115,36,0,0,0,7,0,10,14,0,0,40,40,2,6,0,4,224,215,0,0,0,0,5,0,4,0,0,0,0
observer@feddit.de,335,5,19,116,0,176,0,0,0,2,1,0,352,0,0,0,0,0,0,0,0,1,0,0,72,1,0,2,0,152,0,0,0,0
Rene_Z@lemmy.world,167,33,12,18,11,198,9,0,0,5,8,51,25,35,25,42,21,7,1,51,50,135,91,15,34,72,8,44,10,50,4,0,0,0
ctr1@fl0w.cc,124,84,32,29,99,73,0,0,0,0,4,2,62,32,4,8,0,0,0,0,0,194,87,122,97,96,1,11,14,51,0,0,0,0
BlueEther@lemmy.nz,405,0,36,83,46,16,0,14,38,19,0,0,0,0,0,0,5,27,0,0,0,0,0,311,0,0,0,0,0,211,5,0,0,0
em2@lemmy.ml,77,0,10,11,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,868,0,0,0,0,8,12,69,0,0,0
Kalcifer@lemmy.world,522,2,0,0,0,0,0,0,0,0,0,0,400,45,0,32,67,16,0,0,0,20,0,0,0,0,0,0,39,68,0,0,0,0
eating3645@lemmy.world,41,4,28,36,9,20,6,117,79,86,57,91,24,15,9,8,9,26,9,1,2,198,61,184,16,2,6,4,0,34,4,24,0,0
testaccount789@sh.itjust.works,264,0,0,5,0,2,9,0,16,29,69,4,21,0,0,6,0,0,0,0,1,0,166,2,140,11,0,10,0,454,0,0,0,0
Tacosaus@lemmy.world,149,0,0,85,4,38,0,0,28,41,359,28,1,0,0,1,41,0,0,0,0,12,230,0,0,0,0,0,0,1,168,0,0,0
FireWire400@lemmy.world,2,0,0,0,0,37,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,950,0,0,0,0,0,0,195,0,0,0,0
BatPonyEEE@lemmy.world,112,47,28,89,17,40,0,34,39,13,2,28,222,25,8,14,34,22,0,6,61,27,29,31,5,25,7,138,41,27,3,1,0,0
Yomama@lemmy.world,175,3,0,8,0,19,0,4,2,6,1,3,2,7,47,34,0,91,80,94,13,53,137,321,4,43,0,16,4,3,4,0,0,0
nachtigall@feddit.de,249,0,0,6,0,5,0,27,0,2,0,0,154,26,3,1,2,17,17,0,0,82,139,47,133,0,0,224,1,11,0,25,0,0
Kuschdopf@feddit.de,182,6,0,2,5,55,0,22,13,38,11,70,240,0,0,1,33,300,1,0,0,5,0,0,0,0,0,0,0,178,0,0,0,0
seulgi@lemmy.ml,491,12,0,4,57,13,96,0,0,0,53,0,24,0,0,0,31,0,0,0,69,2,58,0,31,75,9,96,0,34,0,0,0,0
Limitless_screaming@lemmy.world,94,182,13,0,13,59,0,0,0,0,38,13,106,0,0,15,206,156,0,0,0,8,2,3,2,4,0,0,0,228,10,0,0,0
k2003@lemmy.world,56,0,1,3,8,32,0,3,0,1,0,2,4,0,8,0,5,1,0,0,144,21,806,1,35,0,0,0,0,2,13,0,0,0
PLS_PM_ME_UR_NUDEZ@lemmy.world,3,12,4,4,19,61,130,64,9,8,1,12,167,24,1,19,25,7,0,0,129,83,16,73,0,0,3,151,59,31,1,25,0,0
ram@lemmy.ca,12,2,9,28,1,78,134,24,47,2,2,16,21,21,0,7,0,0,0,0,0,132,95,182,3,22,34,166,12,30,0,48,0,0
grte@lemmy.ca,124,0,0,0,57,72,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,339,73,0,0,0
Dynoscord@lemmy.world,170,42,30,8,34,98,6,5,19,6,7,32,56,73,0,4,0,13,27,2,109,29,42,95,24,68,8,30,5,67,8,6,0,0
LengthierCrowd@lemm.ee,300,32,12,4,7,27,6,2,4,1,0,3,49,2,2,68,138,2,2,2,100,10,38,117,0,0,0,103,4,84,0,0,0,0
HappySquid@feddit.ch,125,0,25,33,0,147,0,0,0,0,0,0,21,8,0,0,1,1,0,0,0,63,158,18,92,0,0,1,0,423,1,0,0,0
xuv@lemmy.blahaj.zone,278,4,0,31,137,2,0,0,12,0,108,164,6,89,0,1,2,0,0,0,0,192,11,0,25,2,0,8,0,38,1,0,0,0
eatham@aussie.zone,65,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,43,0,0,0,0,0,9,0,0,0,0
baascus@lemmy.world,245,0,0,0,0,67,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,37,257,0,0,0,2,0,461,0,0,0,0
nooch@lemmy.world,232,4,0,0,3,214,0,0,35,73,0,4,0,0,0,33,144,243,0,0,0,0,7,1,0,0,0,3,14,87,0,0,0,0
iloverocks@feddit.de,71,0,0,0,72,93,0,1,0,0,8,8,69,0,0,43,70,0,0,0,19,519,12,0,20,49,16,24,1,1,0,0,0,0
ludrol@bookwormstory.social,243,5,4,59,51,5,80,17,110,69,29,25,35,25,0,0,12,0,0,0,4,48,58,100,18,14,5,59,0,17,1,2,0,0
nickname@lemmy.world,45,338,144,44,147,1,0,0,0,317,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,7,0,0,0
baascus@programming.dev,249,1,0,0,3,76,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,36,167,0,0,0,3,0,509,0,0,0,0
Gogggy@lemmy.world,16,127,180,310,302,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,55,1,0,0,0,0,0,0
RobinSohn@feddit.de,233,94,104,59,70,11,0,0,27,17,0,10,48,60,15,56,0,0,12,0,1,20,2,72,105,29,0,13,1,7,0,3,0,0
Spaceez@lemmy.world,299,119,97,165,107,0,5,9,39,9,9,1,0,0,0,0,6,10,14,23,8,20,1,3,0,0,84,15,1,16,5,3,0,0
Speiser0@feddit.de,130,41,0,0,0,6,0,1,6,0,44,5,105,1,3,7,5,0,0,0,4,137,150,43,58,62,0,15,0,220,8,12,0,0
AncientMariner@lemmy.world,113,0,2,0,0,166,0,48,0,0,0,40,35,1,0,120,0,4,0,0,0,26,241,0,0,26,0,0,0,228,0,0,0,0
beansleg@lemm.ee,23,5,43,41,25,27,8,75,116,169,26,81,18,6,2,10,6,29,6,2,1,99,52,82,20,2,4,4,0,32,11,20,0,0
FitchInks@feddit.de,520,0,0,9,23,0,94,39,13,1,0,0,0,0,0,0,0,0,60,56,0,72,64,0,0,0,0,0,36,10,45,0,0,0
anonpony1@lemmy.zip,293,0,1,320,0,21,0,6,0,0,0,3,0,69,0,9,0,0,0,0,0,6,7,0,276,0,0,0,28,0,0,0,0,0
EnergyBeam@lemmy.world,404,3,114,2,9,10,0,0,4,0,0,0,36,4,0,1,2,0,1,86,10,15,82,2,163,2,4,46,12,17,1,0,0,0
haganbmj@lemmy.ml,72,10,13,9,8,22,38,1,140,34,0,3,32,4,0,8,117,0,0,0,59,99,85,234,4,0,0,0,0,35,0,0,0,0
afedditor@lemmy.blahaj.zone,8,0,0,0,19,28,0,0,0,0,122,116,154,0,3,28,26,0,0,0,0,244,48,0,20,2,0,154,24,29,2,0,0,0
Setarkus@feddit.de,217,0,1,31,6,8,1,0,0,0,0,0,0,0,267,260,120,73,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estiar@sh.itjust.works,70,117,69,86,141,33,0,12,5,10,6,39,38,13,0,10,24,16,4,12,23,66,36,2,121,23,1,15,9,20,6,0,0,0
provomeister@lemmy.ca,89,7,4,0,0,37,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,674,0,0,0,0,0,39,159,0,0,0,0
shapeslemmyaccount@lemmy.world,349,1,15,5,27,8,0,0,5,0,1,107,10,111,25,3,25,1,0,0,4,1,34,86,0,0,0,0,0,205,1,0,0,0
prodigalsorcerer@lemmy.ca,243,8,5,70,384,40,0,0,34,8,0,0,164,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,16,2,0,0,0
famfo@social.dn42.us,70,2,2,96,8,24,0,0,0,0,0,0,0,0,0,0,12,67,0,0,0,17,582,0,0,0,0,0,0,0,140,0,0,0
anka@feddit.de,336,0,0,0,0,1,1,1,3,0,85,2,80,0,0,0,75,0,0,3,72,5,138,2,1,97,0,0,1,116,0,0,0,0
Shaik@lemmy.world,144,73,32,27,24,54,0,6,24,21,31,23,26,19,5,39,6,2,27,43,38,41,89,50,44,12,6,14,16,66,10,6,0,0
mruczek@lemm.ee,443,55,96,132,12,6,0,0,0,0,6,0,3,0,28,14,19,20,0,0,0,62,0,0,0,0,0,0,0,105,7,8,0,0
Bigcheese@lemmy.world,65,34,64,57,108,22,0,0,6,151,1,30,14,3,0,15,2,36,0,1,106,33,29,70,15,9,23,62,46,11,1,0,0,0
