username,black,darkGrey,deepGrey,mediumGrey,lightGrey,white,beige,peach,brown,chocolate,rust,orange,yellow,pastelYellow,lime,green,darkGreen,forest,darkTeal,lightTeal,aqua,azure,blue,navy,purple,mauve,magenta,pink,watermelon,red,rose,maroon,darkChocolate,darkPurple
SiKCLeR@lemmy.world,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
pruwybn@discuss.tchncs.de,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johannes@feddit.nu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
Redjard@reddthat.com,1205,83,238,30,16,324,48,61,6,33,18,168,237,20,16,113,113,16,0,0,67,235,64,45,169,38,16,115,30,353,62,14,21,48
Sibbo@sopuli.xyz,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
threelonmusketeers@sh.itjust.works,273,35,108,80,45,298,23,1,73,108,31,12,28,15,32,108,143,12,0,0,771,223,447,87,13,84,0,2,27,71,63,54,4,3
omma@discuss.tchncs.de,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelo@lemmy.world,1490,343,146,37,122,123,2,145,52,1,6,28,140,43,2,9,6,4,1,1,59,59,66,27,31,35,17,15,0,42,6,1,22,12
Fizz@lemmy.nz,214,19,0,0,22,3,0,0,62,3,0,0,8,0,7,0,75,16,0,0,35,250,13,8,5,0,3,0,0,0,0,0,0,14
LordAmplifier@pawb.social,273,14,10,0,1,33,0,11,11,182,22,47,129,0,5,0,0,0,0,0,5,147,196,19,0,0,0,0,0,28,25,0,19,0
pewgar_seemsimandroid@lemmy.blahaj.zone,96,7,15,0,56,22,49,2,0,0,4,0,5,0,1,0,0,26,0,0,6,6,20,0,9,0,0,2,0,2,0,0,0,2
Snoopy@piefed.social,47,0,1,12,17,88,24,2,60,76,10,2,27,2,0,209,62,16,0,60,298,51,490,0,0,0,51,0,0,0,0,0,0,0
0_0@sopuli.xyz,277,11,78,314,79,92,1,55,89,46,2,2,320,13,0,0,0,0,0,6,8,21,30,137,7,411,13,333,0,0,0,0,0,274
hdggDalton@toast.ooo,675,34,12,6,21,82,0,2,4,1,4,4,18,4,8,9,3,4,3,5,17,7,11,3,102,13,13,18,2,41,0,5,0,101
siv9939@lemmy.zip,623,330,125,68,30,40,0,0,0,0,261,177,272,286,0,10,1,0,0,0,53,106,0,105,0,0,52,37,0,0,0,0,0,0
Vaporek@mas.to,375,22,241,35,75,238,0,6,17,6,43,25,72,51,0,44,1,0,43,0,257,204,261,101,2,906,8,17,2,241,19,8,0,33
Ohsin@mastodon.social,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,50,0,1,0,0,0,0,0,32,134,0,0,0,0
ChaoticNeutralCzech@feddit.org,37,35,0,1,1,5,0,0,0,21,482,123,24,1,0,36,0,0,0,91,2,19,8,446,0,0,0,0,7,2,0,0,8,0
ACatAndPonyShow@mastodon.social,4,0,84,7,52,0,6,0,0,0,4,18,0,6,0,0,8,0,0,12,0,0,0,0,0,0,0,7,0,0,0,6,13,0
ns1@feddit.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
Staden_@pawb.social,42,48,0,28,0,14,0,0,30,0,0,61,0,0,0,0,0,0,0,0,0,0,0,140,0,2,0,0,0,0,8,2,0,0
DrDuskSaw@lemmy.world,110,0,7,25,51,49,5,2,13,103,1,85,9,69,4,0,0,17,1,44,238,13,43,0,14,136,157,53,87,59,21,9,5,90
grant@grants.cafe,407,21,14,21,15,61,0,0,0,0,0,0,0,0,0,0,0,0,0,9,240,0,4,0,0,0,0,0,0,0,1,0,0,0
misericordiae@literature.cafe,190,69,2,0,1,331,1,0,0,0,0,0,33,1,0,0,6,0,94,50,28,15,171,242,26,14,0,26,0,0,2,4,0,450
TheWaffleLord@toast.ooo,210,150,266,554,129,1,0,0,7,45,9,23,25,17,0,11,0,0,0,4,21,36,18,0,4,0,0,56,2,10,14,0,0,3
mindbleach@sh.itjust.works,6,6,20,0,0,17,0,0,4,0,1,4,0,0,28,0,0,0,0,0,0,0,21,12,0,5,0,1,0,0,0,0,0,44
fishtune@programming.dev,185,7,0,4,9,0,0,0,2,2,13,35,19,12,14,4,3,0,4,19,35,154,141,1,5,4,2,8,0,5,2,0,2,5
synapse1278@lemmy.world,141,12,1,3,2,127,38,0,0,0,12,0,75,5,0,0,0,0,60,121,157,21,213,120,52,14,0,12,9,0,22,12,0,78
dronarnia@lemmy.world,0,29,42,0,4,4,230,0,12,1,0,0,23,0,0,9,6,0,30,41,0,44,145,0,20,0,0,0,0,0,1,0,0,13
RetroBoi128@toast.ooo,428,10,17,76,345,34,0,105,31,85,0,6,13,39,0,29,17,0,0,1,127,168,2,0,0,4,2,6,0,31,5,0,0,0
emb@lemmy.world,194,63,23,0,0,2,0,0,0,19,138,25,0,0,12,24,0,19,2,5,1,110,8,15,0,0,0,0,0,0,11,6,1,2
flamingos@feddit.uk,30,6,0,0,14,8,0,4,0,0,0,0,45,0,0,0,0,0,0,0,4,14,0,104,0,0,0,0,0,100,51,0,0,0
7eter@feddit.org,24,0,0,0,0,31,0,0,0,0,22,0,63,0,0,0,0,0,0,0,312,5,4,80,0,0,0,0,0,4,0,0,0,0
AllrightImmaHeadOut@discuss.tchncs.de,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0
Zwiebel@feddit.org,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stitch0815@feddit.org,190,0,0,0,0,2,0,0,0,0,110,0,4,1,0,0,0,0,0,0,0,16,7,39,0,0,0,0,0,0,0,0,0,7
frozen_flaps@lemmy.world,6,56,6,24,31,65,0,0,1,0,63,0,59,0,0,0,0,0,6,0,0,7,73,59,4,0,0,0,0,5,12,0,0,129
catatat@feddit.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Hubi@feddit.org,11,7,8,8,11,6,7,8,8,109,52,0,1,47,10,15,8,2,13,24,21,11,0,25,0,11,2,15,13,28,16,11,14,0
Undearius@lemmy.ca,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LongLive@lemmy.world,7,0,0,0,0,4,0,10,2,0,8,12,14,6,5,2,0,3,5,0,0,0,2,4,2,1,2,4,0,0,11,11,0,0
Pandantic@midwest.social,102,0,79,7,10,81,10,0,0,2,3,7,54,98,10,209,198,0,58,56,22,3,26,0,24,9,22,4,74,104,18,104,2,5
Matombo@feddit.org,38,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
martinbasic@lemmy.world,720,7,4,13,8,25,8,0,7,2,12,23,0,1,2,0,0,0,3,61,5,66,3,482,0,0,0,8,22,6,2,0,0,3
caos@feddit.org,0,7,12,98,139,0,8,0,83,126,397,65,69,0,0,0,0,0,3,2,0,54,228,57,0,0,0,31,0,0,1,0,22,0
LittleshyFiM@derpy.masto.host,0,0,2,9,24,0,0,0,0,0,0,11,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rainarch@mastodon.social,2,7,1,5,0,107,5,3,67,0,0,0,1,0,0,0,0,0,2,0,31,3,0,0,0,0,0,0,0,41,0,0,0,0
Terrance@lemmy.world,0,6,0,0,52,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,49,0,0,0,0
ChaosCoati@midwest.social,230,3,71,30,50,593,6,41,0,103,17,36,35,45,0,1,45,37,8,13,42,27,33,214,11,85,10,9,11,40,2,4,1,99
Ethanol@pawb.social,458,94,37,12,46,125,2,75,0,5,78,6,42,79,33,0,31,33,26,0,423,303,77,2,2,0,0,9,16,78,200,107,5,1
moosetwin@lemmy.dbzer0.com,217,17,18,143,0,31,0,0,23,12,160,44,28,179,0,1,1,0,0,0,1,10,19,2,6,0,0,0,2,19,17,0,0,1
imaqtpie@sh.itjust.works,338,1,22,79,120,114,1,0,0,3,7,9,136,5,0,30,14,0,0,0,162,13,9,4,9,0,0,0,0,28,2,0,0,0
Kess8a@lemy.lol,156,146,76,72,272,955,80,14,11,11,3,3,68,12,0,8,4,11,3,0,61,47,15,99,21,82,4,19,40,11,0,1,0,26
OlimitLolli@feddit.org,106,12,0,130,0,348,0,0,0,0,238,26,109,0,8,41,124,17,14,13,27,75,125,19,37,9,7,12,5,111,4,0,0,59
blackjacksepp@mstdn.party,47,0,0,0,0,103,0,0,25,1,23,14,0,0,0,2,0,0,0,0,27,24,180,1,0,0,0,0,0,0,1,0,0,0
fonji@sopuli.xyz,16,0,0,0,31,0,0,0,0,0,0,0,84,0,3,0,11,39,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
cows_are_underrated@feddit.org,0,0,0,2,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,6
pinage404@mamot.fr,6,0,0,0,0,10,7,0,0,157,312,0,18,0,0,0,0,0,0,0,15,0,0,105,0,0,0,0,1,0,0,0,245,0
deedan06_@lemmy.dbzer0.com,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,36,0,0,0,0
Quilly@equestria.social,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,8,7,22,27,6,0,0,0,5,1
Montagge@lemmy.zip,161,237,62,8,0,5,0,0,0,0,31,24,49,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunstabzugshaubitze@feddit.org,1210,73,14,9,25,43,0,0,0,4,127,30,476,0,0,23,3,0,0,0,64,107,0,79,15,9,9,0,0,25,0,0,2,0
tigeruppercut@lemmy.zip,141,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usernamesAreTricky@lemmy.ml,167,0,0,11,0,35,0,0,0,0,0,0,0,0,0,0,0,0,123,94,0,0,0,0,0,0,4,3,0,0,0,0,0,0
germste@lemmy.ca,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Neon_Carnivore@lemmy.zip,30,187,18,6,0,0,0,0,0,0,56,38,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobbel2000@programming.dev,15,186,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
JPAKx4@lemmy.blahaj.zone,40,0,0,0,9,73,0,0,0,0,0,7,10,0,0,4,0,0,0,0,2,1,7,0,34,0,22,0,0,14,0,0,0,0
Deebster@infosec.pub,316,9,39,0,9,23,0,38,6,2,20,4,270,37,22,35,28,3,4,3,18,26,0,132,4,2,2,0,0,146,6,0,3,8
Marty_TF@lemmy.zip,17,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
otter@lemmy.ca,14,0,89,21,15,3,0,0,4,1,0,0,8,0,0,0,101,29,0,0,0,37,58,7,3,0,0,0,40,65,68,1,14,21
wagesj45@mastodon.jordanwages.com,1,12,61,37,17,0,0,0,0,0,0,4,10,0,12,0,71,0,0,0,0,22,16,62,5,0,4,4,0,8,40,0,0,3
all4one@lemmy.zip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,1
bobtimus_prime@feddit.org,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bae@mas.to,0,0,0,1,12,10,2,18,0,1,16,0,25,0,0,0,3,0,0,0,56,0,17,0,4,0,0,24,0,0,29,0,0,0
lugal@sopuli.xyz,611,0,0,0,162,212,31,0,0,8,0,2,47,0,2,78,167,277,0,0,15,0,30,0,0,0,0,22,0,32,1,0,0,4
Addoyy@feddit.org,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petrescatraian@mstdn.ro,136,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
elvith@feddit.org,2,0,0,0,0,0,0,0,0,0,30,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmodknower@programming.dev,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frodz@feddit.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
wuffwuffwuff@sh.itjust.works,3,31,6,0,111,6,4,6,0,0,0,8,19,10,1,65,0,0,21,151,12,12,17,12,10,14,12,23,14,2,0,0,0,114
box464@mastodon.social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
yetAnotherUser@discuss.tchncs.de,120,3,0,131,3,40,2,36,46,60,145,116,47,0,0,0,2,2,0,0,1,2,105,550,40,4,2,1,17,30,3,8,1,12
theacharnian@lemmy.ca,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
a_wild_mimic_appears@lemmy.dbzer0.com,70,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
renormalizer@feddit.org,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
lemmyrob@feddit.org,140,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,28,0,0,0,0
Mykeyy@toast.ooo,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bravesentry@feddit.org,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JRaccoon@discuss.tchncs.de,287,34,26,54,26,20,45,50,132,202,525,24,311,0,0,0,114,14,18,0,58,106,59,226,64,0,0,31,18,18,13,60,53,12
idealotus@lemmy.world,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
myusername@sopuli.xyz,7,12,2,4,6,58,18,16,17,13,8,5,978,17,20,10,8,10,5,7,14,9,838,159,17,16,15,16,4,132,5,7,8,15
alk@mastodon.social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
onnekas@sopuli.xyz,0,0,0,0,0,1,0,0,0,0,1,33,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
FQQD@chaos.social,73,0,0,13,41,38,17,0,0,4,50,24,9,0,0,63,0,0,1,0,58,7,25,10,27,0,25,30,8,219,8,0,1,229
Cacktus@feddit.org,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rose@lemmy.zip,554,0,0,143,0,62,0,7,0,1,1,6,167,0,0,8,3,0,354,362,55,0,139,0,0,0,89,6,0,9,0,0,0,12
marius851000@mariusdavid.fr,232,49,130,88,184,86,28,13,20,47,43,77,116,249,13,48,30,0,4,8,373,158,173,90,167,39,28,66,82,88,23,32,0,139
technopagan@lemmy.world,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DmMacniel@feddit.org,2179,43,2,126,0,50,0,0,68,294,217,96,63,0,0,3,0,0,23,22,4,31,29,308,26,32,34,8,45,63,24,14,61,29
Havatra@lemmy.zip,0,0,0,0,0,0,0,2,0,6,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schnurrito@discuss.tchncs.de,0,0,56,55,0,12,0,0,0,0,27,0,20,0,0,0,210,70,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
shiva@bytes.programming.dev,95,56,7,81,59,16,94,53,36,197,0,26,0,17,2,4,15,0,2,2,0,43,0,0,0,0,15,24,14,11,15,4,167,0
KokoSabreScruffy@lemmy.world,124,30,59,40,27,2,31,51,55,100,15,9,104,8,0,0,9,70,0,0,4,9,0,118,23,12,18,76,29,14,55,107,20,0
Laku@toast.ooo,0,0,1,0,29,7,5,8,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_a_X@feddit.org,663,51,0,0,0,3,0,0,0,30,52,49,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1stQ@feddit.org,80,0,13,0,0,1,0,0,0,12,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Lumidaub@feddit.org,0,0,0,0,0,131,0,0,0,0,0,27,1,26,0,0,0,0,0,0,0,3,44,0,0,0,0,0,5,43,4,8,0,0
grozzle@lemmy.zip,12,60,152,98,3,10,97,7,31,0,0,6,43,0,0,138,2,0,0,0,68,4,9,18,0,0,1,4,0,0,15,3,0,6
ellyponey@equestria.social,11,0,0,14,0,13,0,0,0,2,2,9,0,6,29,143,12,139,0,0,23,85,0,83,36,621,11,11,0,28,0,1,62,4
Illinoismapper@toast.ooo,331,9,36,26,49,32,11,10,0,28,0,46,0,121,0,1,0,48,39,0,89,132,170,0,141,136,121,70,94,28,21,7,0,115
DrunkAnRoot@sh.itjust.works,157,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
VNBright@toast.ooo,271,88,54,75,30,238,46,113,10,2,65,136,472,418,30,28,21,0,7,0,5,19,1,5,0,0,0,0,0,51,52,32,0,0
Tamero@dizl.de,88,0,0,0,0,177,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0
Tudsamfa@lemmy.world,198,0,882,0,3,337,1,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,62,58,0,0,0,0,0,0,0,0,0,0
shmanio@lemmy.world,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Mouseborg@mastodon.social,308,0,111,0,5,556,0,0,0,0,1,0,317,0,0,86,51,0,0,0,0,0,12,234,0,0,0,0,0,0,0,0,0,0
yen@europe.pub,3,2,4,4,4,428,123,4,6,5,117,97,12,78,4,5,5,4,4,65,147,5,4,4,4,5,5,25,1,10,2,2,6,4
WrenMala8@pawb.social,0,0,0,0,17,5,0,0,0,76,46,0,0,0,0,0,0,0,0,0,0,118,0,30,0,0,0,0,0,0,0,0,0,0
C0MPUT3_36@sh.itjust.works,1806,12,0,105,0,33,0,31,12,16,7,31,11,0,0,0,0,1,0,0,23,0,0,304,0,0,0,24,14,173,47,0,101,2
helloyanis@furries.club,9,0,0,7,9,2,0,0,0,0,0,0,36,14,2,65,21,2,1,0,0,0,0,0,0,0,1,18,13,0,0,0,0,0
rarWars@lemmy.blahaj.zone,69,8,10,9,0,9,0,0,0,0,15,4,46,2,0,0,11,0,12,0,16,0,41,0,81,1,31,0,0,40,0,0,0,3
nmuniz@equestria.social,33,5,21,10,82,21,24,10,11,38,0,80,5,137,14,0,1,28,32,71,108,192,76,0,71,33,89,138,25,25,39,37,0,120
pmk@piefed.ca,307,0,0,0,7,81,0,0,0,0,0,0,0,0,0,2,0,36,0,0,2,0,38,0,170,0,15,0,0,27,0,0,0,0
Illuner@mastodon.social,31,95,22,142,30,330,158,45,32,16,17,0,32,3,125,208,196,44,24,0,0,94,0,188,0,0,0,0,30,32,0,2,0,0
soloq@mastodon.social,9,27,73,25,14,0,49,24,105,61,12,8,11,7,74,1,4,20,18,13,14,0,0,0,0,0,0,0,22,8,14,22,0,0
buzzybuzzbuzz@mastodon.social,7,41,2,11,0,65,0,5,20,10,0,0,14,0,4,11,0,8,0,20,0,0,0,1,0,0,0,1,36,12,2,0,4,3
Toastor@toast.ooo,148,104,33,116,6,751,0,75,19,0,0,10,20,19,1,4,0,0,3,6,266,80,135,27,10,44,11,0,4,84,2,0,0,10
MurdockWolfgang@pawb.social,76,47,25,37,30,26,0,0,0,0,0,12,0,0,0,12,39,1,0,0,0,0,14,0,0,0,0,0,0,16,0,0,0,4
Eevay_@equestria.social,873,82,149,147,93,721,0,0,0,20,13,58,199,116,12,52,3,12,0,45,11,136,100,13,43,15,20,14,18,130,139,0,3,5
Grail@multiverse.soulism.net,885,2,920,10,17,360,15,0,5,29,7,27,75,0,0,235,244,31,0,0,0,14,38,0,37,10,1,0,31,189,0,0,0,246
